,Name,Code,ICAO
323,Asian Express Airlines,RS,TXP
324,Asian Express General Aviation Wuxi,,WUA
325,Asiana Airlines,OZ,AAR
326,Asky Airlines,KP,SKK
327,ASL Airlines,,ABR
328,ASL Airlines Australia,PH,SFZ
329,ASL Airlines Belgium,3V,TAY
330,ASL Airlines France,5O,FPO
331,ASL Airlines UK,,ABV
332,Asta Linhas Aereas,0A,SUL
333,Astonjet,,AJD
334,Astonjet,,ASJ
335,Astral Aviation,8V,ACP
336,ATA Airlines,I3,TBZ
337,ATI Jet,,CYO
338,Atlantic Airways,RC,FLI
339,Atlas Air,5Y,GTI
340,Atlas Air Service,,ATL
341,ATP Flight School,,CXK
342,ATR,,EVX
343,Atran,V8,VAS
344,Auckland Rescue Helicopter,,WPR
345,Auric Air,UI,AUK
346,Aurigny Air Services,GR,AUR
347,Aurora,HZ,SHU
348,Australia - Customs,,CUS
349,Australia - Federal Police,,FPL
350,Australia - Royal Australian Air Force,,ASY
351,Austria - Air Force,,ASF
352,Austrian Airlines,OS,AUA
353,Av8Jet,,AJO
354,AVA Airlines,,AXV
355,Avalair Aircraft Management,,ARR
356,Avanti Air,,ATV
357,Avcenter,,TTE
358,Avcon Jet,,AOJ
359,Avcon Jet Malta,,VCJ
360,Avcon Jet San Marino,,VAJ
361,Avelo Airlines,XP,VXP
362,Avia Traffic,YK,AVJ
363,Aviacon Zitotrans,ZR,AZS
364,Avianca,AV,AVA
365,Avianca Cargo,QT,TPA
366,Avianca Costa Rica,LR,LRC
367,Avianca Ecuador,2K,GLG
368,Avianca El Salvador,TA,TAI
369,Avianca Express,EX,AVR
370,Avianca Guatemala,GU,GUG
371,Aviastar,,VIT
372,Aviastar-TU,4B,TUP
373,Aviation Advisor,,LKF
374,Aviation Horizons,ZS,HZS
375,Aviator College,,WCP
376,Aviatsa,,VVT
377,Avincis,,INR
378,Avincis Aviation Italia,,ELH
379,Avincis Aviation Norway,,BNO
380,Avincis Aviation Portugal,,BBO
381,Avincis Aviation Sweden,,DFL
382,Avion Express,X9,NVD
383,Avion Express Malta,4X,MLH
384,Avionord,,VND
385,Avior Airlines,9V,ROI
386,Aviostart,,VSR
387,AWA,,WEY
388,Awesome Cargo,A7,WIN
389,AXIS Aviation,,BQA
390,Axis Aviation San Marino,,AXS
391,Azerbaijan Airlines,J2,AHY
392,Azimut,,MOM
393,Azimuth,A4,AZO
394,Azman Air,ZU,AZM
395,Azores Airlines,S4,RZO
396,Aztec Airways,AJ,AZY
397,Azul Conecta,2F,ACN
398,Azul Linhas Aereas,AD,AZU
399,Azur Air,ZF,AZV
400,B.J. Aviation,,JSG
401,BA CityFlyer,CJ,CFE
402,BA Euroflyer,A0,EFW
403,Babcock,,RHD
404,Babcock MCS France,,PTH
405,Backcountry Aviation,,SQH
406,Baden Aircraft Operations,,BAO
407,Badr Airlines,J4,BDR
408,BAe Systems,,BAE
409,BAe Systems Marine,,VSB
410,Bahamasair,UP,BHS
411,Bairline,,BRJ
412,Baker Aviation,,KOW
413,Bamboo Airways,QH,BAV
414,Bangkok Airways,PG,BKP
415,BankAir,,BKA
416,Bar XH Air,,BXH
417,Baron Aviation Services,,BVN
418,Bassaka Air,5B,BSX
419,Batik Air,ID,BTK
420,Batik Air Malaysia,OD,MXD
421,BBN Airlines,B5,BBT
422,BBN Airlines Indonesia,7B,BBL
423,Bearskin Airlines,JV,BLS
424,Bees Airlines,BS,BES
425,Beijing Airlines,,BJN
426,Bel Air Aviation,,BBX
427,Belavia,B2,BRU
428,Belgium - Air Force,,BAF
429,Belgium - Coast Guard,,BCG
430,Belgium - Gendarmerie,,GDB
431,Belgium - Navy,,NYB
432,BellAir,,TCN
433,Bemidji Airlines,CH,BMJ
434,Beond,B4,BYD
435,Bering Air,8E,BRG
436,Berjaya Air,J8,BVT
437,BermudAir,2T,BMA
438,Berniq Airways,NB,BNL
439,Berry Aviation,,BYA
440,Bestfly Aruba,,BFY
441,Bestfly Cabo Verde,3B,BCV
442,BH Air,8H,BGH
443,Bhutan Airlines,B3,BTN
444,Big Bend Community College,,BGB
445,Bighorn Airways,,BHR
446,Biman Bangladesh Airlines,BG,BBC
447,BinAir,,BID
448,Binani Air,,BGL
449,Binter Canarias,NT,IBB
450,Bioflight,,BIO
451,Blackbird Air,,BBB
452,Blessings Aviation,,TJJ
453,Blue Bird Aviation,,BLB
454,Blue Dart Aviation,BZ,BDA
455,Blue Islands,SI,BCI
456,Blue Square Aviation,,BSG
457,Bluebird Airways,BZ,BBG
458,Bluebird Aviation,,BBZ
459,Bluebird Nordic,BO,BBD
460,Bluesky Airways,,BSF
461,BlueSky Aviation,,SBK
462,Boeing,,BOE
463,Boliviana de Aviacion,OB,BOV
464,Bombardier,,BBA
465,Bonza,AB,BNZ
466,Bookajet,,BOO
467,Boutique Air,4B,BTQ
468,BRA,TF,BRX
469,Braathens International Airways,TT,BIX
470,Braspress Air Cargo,,BPC
471,Bravo Airways,,BAY
472,Brazil - Air Force,,BRS
473,Brazil - Army,,EXB
474,Brazil - Navy,,MBR
475,Breeze Airways,MX,MXY
476,Bridger Aerospace,,BGR
477,Bridges Air Cargo,5B,BRD
478,Brilliant Jet,,TXJ
479,Bristow Helicopters,,BHL
480,Bristow Nigeria,,BHN
481,Bristow Norway,,NOR
482,Bristow US,,BTZ
483,British Airways,BA,BAW
484,British Airways Shuttle,,SHT
485,British International Helicopters,,BRT
486,Bromma Air Maintenance,,CFL
487,Brussels Airlines,SN,BEL
488,Budapest Aircraft Service,RP,BPS
489,Buddha Air,U4,BHA
490,Budget Lines,BD,BGN
491,Buffalo Airways,J0,BFL
492,Bul Air,LB,BVL
493,Bulgaria - Air Force,,AFB
494,Bulgaria - Government,,BGF
495,Bulgaria Air,FB,LZB
496,Buraq Air,UZ,BRQ
497,Burkina Faso - Government,,BFA
498,Business Aviation Asia,UN,UNA
499,Business Wings,,JMP
500,Buzz,RR,RYS
501,BySky,,BYS
502,C&M Airways,,RWG
503,CAA,BU,DBP
504,Cabo Verde Airlines,VR,TCV
505,CAE,,CSR
506,CAE,,OXF
507,Caicos Express Airways,9Q,CXE
508,Calm Air,MO,CAV
509,Calstar,,CMD
510,Camair-Co,QC,CRC
511,Cambodia Airways,KR,KME
512,Cambodia Angkor Air,K6,KHV
513,CAMEX Adria Airlines,,CMM
514,Camex Airlines,Z7,CMS
515,Canada - Coast Guard,,CTG
516,Canada - Department of Transport,,TGO
517,Canada - Ontario Ministry of Natural Resources,,ONT
518,Canada - Royal Canadian Air Force,,CFC
519,Canada - Royal Canadian Mounted Police,,SST
520,Canada - Saskatchewan Air Ambulance Service,,SLG
521,Canadian Airways Congo,,TWC
522,Canadian North,5T,AKT
523,Canair,,RSC
524,CanaryFly,PM,CNF
525,Canavia,,CNA
526,Canlink Aviation,,MFC
527,CanWest Air,,CWA
528,Cape Air,9K,KAP
529,Capital Air Ambulance,,EGL
530,Capital Airlines,JD,CBJ
531,Capital City Air Carriers,,CCQ
532,Cardig Air,7D,CAD
533,CareFlight,,CFH
534,Cargo Air,,CGF
535,Cargo Three,C3,CTW
536,Cargojet Airways,W8,CJT
537,Cargolux,CV,CLX
538,Cargolux Italia,C8,ICV
539,Caribbean Airlines,BW,BWA
540,Carlisle Air Group,,CCK
541,Carpatair,V3,KRP
542,Carson Air,,CRN
543,Caspian Airlines,RV,CPN
544,Castle Aviation,,CSJ
545,Cat Aviation,,CAZ
546,Cathay Pacific,CX,CPA
547,Catreus,,VCG
548,Cavok Air,,CVK
549,Cayman Airways,KX,CAY
550,CB SkyShare,,CBC
551,Cebgo,DG,SRQ
552,Cebu Pacific,5J,CEB
553,Ceiba Intercontinental,,CEL
554,CemAir,5Z,KEM
555,Centene Management Company,,TMP
556,Central Air Southwest,,CTL
557,Central Airlines,I9,HLF
558,Central Mountain Air,9M,GLR
559,Centreline,,CLF
560,Cerium Air,,CAQ
561,Chabahar Airlines,,IRU
562,Chair Airlines,GM,GSW
563,Chalair Aviation,CE,CLG
564,Challenge Air Cargo,X6,CHZ
565,Challenge Airlines BE,X7,CHG
566,Challenge Airlines IL,5C,ICL
567,Cham Wings Airlines,,SAW
568,Charter Jets,,LTC
569,Chartright Air,,HRT
570,CHC Helicopter,,HMB
571,CHC Helicopters Netherlands,,HNL
572,CHC Helicopters Nigeria,,ATQ
573,CHC Helikopter Service,,HKS
574,CHC International,,GCY
575,Chengdu Airlines,EU,UEA
576,Chervon,,GLH
577,Chicago Jet Group,,WDY
578,China - Air Force,,CKJ
579,China - Civil Aviation Administration,,CFI
580,China Airlines,CI,CAL
581,China Cargo Airlines,CK,CKK
582,China Eastern Airlines,MU,CES
583,China Express Airlines,G5,HXA
584,China Postal Airlines,CF,CYZ
585,China Southern Airlines,CZ,CSN
586,China Southern Cargo,,CSG
587,China United Airlines,KN,CUA
588,Chodang University,,CDQ
589,Chongqing Airlines,OQ,CQN
590,Chrono Aviation,MB,NDL
591,Chrono Jet,MB,MBK
592,Cinnamon Air,C7,CIN
593,Circadian Aviation,,CYC
594,CITIC Offshore Helicopter,,CHC
595,Citilink,QG,CTV
596,City Airlines,VL,LHX
597,Cityjet,WX,BCY
598,Civil Air Patrol,,CAP
599,Class Aviation,,DUC
600,Clic,VE,EFY
601,ClipperJet,,ORO
602,CM Airlines,H5,OMT
603,CMA CGM AirCargo,2C,CMA
604,Coastal Aviation,CQ,CSV
605,Cobalt Air,CO,FCB
606,Cobham Aviation Services Australia,,NJS
607,Colombia - Air Force,,FAC
608,Colorful Guizhou Airlines,GY,CGZ
609,Comlux,,CLA
610,Comlux Aruba,CS,CXB
611,Comlux Kazakhstan,,KAZ
612,Comlux Malta,,MLM
613,CommuteAir,C5,UCA
614,Compagnia Aeronautica Italiana,,CPI
615,Compass Cargo Airlines,HQ,ADZ
616,Conair,,FGD
617,Condor,DE,CFG
618,Congo Airways,8Z,CGA
619,Conquest Air,C4,QAI
620,Constanta Airline,,UZA
621,Contour Aviation,LF,VTE
622,Conviasa,V0,VCV
623,Copa Airlines,CM,CMP
624,Copenhagen Airtaxi,,CAT
625,Corendon Airlines,XC,CAI
626,Corendon Airlines Europe,XR,CXI
627,Corendon Dutch Airlines,CD,CND
628,Corporate Air,,CPT
629,Corporate Air,,MLN
630,Corporate Jet,,PHJ
631,Corsair,SS,CRL
632,Costa Rica - Ministry of Public Security,,MSP
633,Costa Rica Green Airways,GW,CRG
634,Coulson Aviation,,CUL
635,Cristalux,7Z,AUZ
636,Croatia - Air Force,,HRZ
637,Croatia Airlines,OU,CTN
638,Cronos Airlines,C8,CRA
639,Cronos Airlines Benin,C9,CKL
640,Crown Airlines,FQ,CWN
641,Crystal Air,,CYT
642,CSA Air,,IRO
643,CSI Aviation,,CSI
644,CSM Aviation,,TOG
645,Cubana,CU,CUB
646,Cygnus Air,,RGN
647,Cyprus Airways,CY,CYP
648,Czech Airlines,OK,CSA
649,Czechia - Air Force,,CEF
650,Czechia - Government,,CIE
651,Daallo Airlines,D3,DAO
652,Dalian Airlines,,CCD
653,Dan Air,DN,JOC
654,Dana Air,9J,DAN
655,DAS Private Jets,,DWW
656,Dassault Falcon Service,,DSO
657,DAT,DX,DTR
658,DAT LT,R6,DNU
659,DB Aviation,,DBT
660,DC Aviation,,DCW
661,DC Aviation,,DCS
662,DC Aviation San Marino,,DCU
663,DEA Aviation,,WKT
664,Deer Jet,,DER
665,Deer Jet Beijing,,BDJ
666,Delta Air Lines,DL,DAL
667,Delta State University,,DSU
668,Denmark - Army,,DAR
669,Denmark - Navy,,DNY
670,Denmark -Air Force,,DAF
671,Desert Jet,,DJR
672,Desert Wings Aviation,,DWA
673,DesertAir Alaska,,DAZ
674,Deucalion Aviation,,DLN
675,Dexter Air Taxi,,DXT
676,DHL,D0,DHK
677,DHL Aero Expreso,D5,DAE
678,DHL Air Austria,Q7,DHA
679,DHL Aviation EEMEA,ES,DHX
680,Diamond Sky,,DMS
681,Dillon Aero,,KTY
682,Discover Airlines,4Y,OCN
683,Divi Divi Air,3R,DVR
684,Donghai Airlines,DZ,EPA
685,Dornier Aviation Nigeria Aiep,DO,DAV
686,Douniah Airlines,DH,DTS
