,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
4087,acf207,1714079851,KMIA,1714082108,KTPA,AAL2842 ,2487.0,134.0,2621.0,30.0,1,7
4088,ae003d,1714079353,,1714080715,OK43,COLT22  ,,,20992.0,2019.0,0,2
4089,c058af,1714080009,CLV2,1714081624,CLV2,CGHPE   ,789.0,763.0,2229.0,611.0,3,5
4090,c822bb,1714078623,NZWB,1714081187,NZCH,SDA653  ,4933.0,1132.0,551.0,114.0,1,3
4091,e4926c,1714079239,,1714080237,SBMT,SID9003 ,,,9386.0,398.0,0,2
4092,e49a86,1714076510,,1714077927,SBKP,AZU4046 ,,,12562.0,550.0,0,3
4093,3c6759,1714077192,EDDF,1714080158,LFPG,DLH17X  ,4002.0,71.0,2691.0,170.0,2,8
4094,706211,1714075892,OMDB,1714081054,OKBK,JZR128  ,1007.0,64.0,4606.0,188.0,0,1
4095,717cd3,1714077800,,1714078572,OERK,FAD234  ,,,8840.0,373.0,0,1
4096,a2082c,1714076555,,1714078493,KPTK,N23WS   ,,,3721.0,67.0,0,9
4097,a1f26d,1714079584,KTIX,1714081664,KISM,N2241W  ,3462.0,324.0,2031.0,279.0,2,5
4098,a37ce1,1714078309,K33N,1714081832,K33N,N32376  ,4020.0,432.0,2319.0,120.0,2,22
4099,a5094a,1714080602,KROA,1714081413,2VA0,N4231L  ,281.0,53.0,8623.0,536.0,1,11
4100,a5094a,1714078622,81VA,1714079787,KROA,N4231L  ,5088.0,746.0,906.0,53.0,4,6
4101,a53c39,1714080880,KADG,1714082267,KADG,N4363R  ,3674.0,518.0,12082.0,396.0,0,16
4102,a4c07a,1714080643,KNTD,1714081375,KNSI,N405PA  ,1985.0,247.0,18273.0,767.0,2,0
4103,a4c527,1714075836,KIND,1714081464,KLGA,RPA4747 ,2572.0,420.0,367.0,113.0,2,3
4104,a65f37,1714076172,,1714077419,KEMT,N51BH   ,,,23969.0,1715.0,0,1
4105,a5f18c,1714076890,K10C,1714077655,16IL,N482RP  ,2420.0,99.0,5832.0,630.0,4,40
4106,a74d26,1714079147,,1714081822,KMSY,N57MC   ,,,1671.0,16.0,0,5
4107,a80f63,1714075384,K7A5,1714076471,80GA,N6184J  ,5853.0,912.0,3153.0,694.0,0,14
4108,a8793d,1714076497,KYIP,1714081919,KMSP,EJA645  ,177.0,88.0,855.0,35.0,2,9
4109,a9660b,1714076166,KGPM,1714078835,2TS4,N7042C  ,2294.0,201.0,13252.0,1426.0,1,8
4110,a9dcc6,1714078310,KDAB,1714079661,KX50,N73435  ,2390.0,172.0,3943.0,1185.0,2,9
4111,aa6ceb,1714076072,,1714078190,KBFI,N771BV  ,,,300.0,31.0,0,7
4112,ab437a,1714077243,,1714078193,MMMX,AMX231  ,,,1010.0,96.0,0,1
4113,ab4b50,1714079160,KDAB,1714082143,K28J,ERU827  ,531.0,4.0,4640.0,709.0,2,13
4114,aaa7d8,1714075383,K23M,1714081629,KTPA,N786LP  ,9524.0,1906.0,2506.0,22.0,0,7
4115,ac18cd,1714075240,KLOU,1714079023,KLOU,N879LP  ,570.0,44.0,1004.0,44.0,1,8
4116,ac857b,1714077756,KROC,1714081079,KBOS,PDT5819 ,1182.0,124.0,860.0,97.0,1,3
4117,ac8acb,1714079170,KYKM,1714082271,KYKM,N907SP  ,391.0,68.0,1008.0,84.0,0,6
4118,abcd19,1714078354,TX46,1714079372,KDAL,N86GE   ,3633.0,1284.0,3179.0,141.0,8,14
4119,ad1bc9,1714078654,KBOI,1714080095,KBOI,N9438M  ,999.0,229.0,3052.0,229.0,3,8
4120,ad39cd,1714076888,KNUQ,1714078436,,EJA951  ,604.0,63.0,,,2,0
4121,acd084,1714079869,,1714080539,KMTN,N9248P  ,,,2450.0,24.0,0,9
4122,acd084,1714076672,,1714078076,7MD8,N9248P  ,,,14365.0,118.0,0,8
4123,accd18,1714075637,8NC9,1714077259,KATL,DAL2195 ,10182.0,790.0,1796.0,68.0,4,20
4124,ae2ef9,1714077601,KNSE,1714081703,MS82,SH124   ,5553.0,518.0,12363.0,1794.0,4,3
4125,c820a8,1714080524,NZAR,1714081505,NZAR,ZKZAC   ,3358.0,347.0,3216.0,354.0,0,4
4126,40600d,1714076731,EHAM,1714079687,EGGW,EZY94NA ,1509.0,140.0,1803.0,144.0,0,5
4127,3a4594,1714076868,NTTM,1714078197,,NM914   ,1115.0,65.0,,,0,0
4128,4ca27a,1714077240,LEPA,1714080846,LEMD,RYR2776 ,3047.0,349.0,2287.0,23.0,1,3
4129,7c0394,1714076474,YBAF,1714079343,YBAF,AZQ     ,389.0,19.0,362.0,19.0,0,2
4130,7c6b2d,1714078697,YSSY,1714082057,YBNA,JST456  ,2221.0,67.0,3695.0,112.0,0,1
4131,a05102,1714076987,KJQF,1714080137,KINT,N1197U  ,94.0,39.0,2239.0,138.0,6,8
4132,a192bf,1714080046,FD29,1714080910,KLEE,N200HN  ,5369.0,7.0,2754.0,68.0,4,17
4133,a192bf,1714077076,10FA,1714077945,FD29,N200HN  ,6057.0,7.0,5192.0,7.0,3,21
4134,a22b8d,1714077677,K14A,1714079180,3NC3,N239SP  ,284.0,34.0,15054.0,1243.0,4,11
4135,a27564,1714077817,2KY1,1714079791,KBRY,N258BW  ,5878.0,905.0,15631.0,1114.0,1,6
4136,a26a2c,1714076600,KBTR,1714081836,KDFW,IFG250  ,2730.0,374.0,3927.0,150.0,1,23
4137,a34de0,1714076418,KLGB,1714082365,KLGB,CXK1032 ,1193.0,42.0,683.0,18.0,3,8
4138,a2db97,1714075964,KSMO,1714076723,KWHP,N28306  ,68.0,53.0,108.0,61.0,2,4
4139,a47166,1714075567,KBVY,1714076944,KBVY,N38580  ,203.0,32.0,1643.0,24.0,1,4
4140,a59662,1714077398,KVNY,1714081333,KVNY,N4593X  ,925.0,31.0,1124.0,61.0,2,4
4141,a4db51,1714076077,KPIT,1714078370,KBFD,FDY308  ,1773.0,151.0,24750.0,1023.0,5,0
4142,a6281c,1714075913,KPNE,1714078549,KPNE,N496TS  ,258.0,89.0,1107.0,67.0,0,12
4143,a65ad0,1714078514,KGTU,1714080653,KT74,N50858  ,1906.0,216.0,2619.0,236.0,8,18
4144,a66ce0,1714076541,KSAN,1714082178,KSLC,DAL403  ,532.0,10.0,3435.0,98.0,2,3
4145,a69df3,1714078720,KLOU,1714081077,KLOU,N52501  ,1224.0,46.0,1027.0,14.0,1,8
4146,a5e9af,1714077069,,1714079229,06TX,GTI8789 ,,,6395.0,2258.0,0,20
4147,a99460,1714075626,KPDK,1714080110,06FA,00000000,781.0,31.0,13598.0,1157.0,1,8
4148,a9c8ee,1714075910,,1714077880,KOAK,KFS150  ,,,1137.0,48.0,0,4
4149,a9bd1d,1714078056,KMTN,1714080319,KMTN,N72664  ,1182.0,24.0,3033.0,85.0,1,9
4150,a9e758,1714075864,,1714077508,4AL2,BL7ZN   ,,,3771.0,388.0,0,21
4151,aa4add,1714080883,,1714081910,KSHV,N762VM  ,,,5464.0,256.0,0,13
4152,aa67e1,1714079329,KPMD,1714081382,KMYF,N77NG   ,13286.0,1739.0,1099.0,31.0,0,7
4153,ab402b,1714078297,KDAB,1714079577,KX21,ERU824  ,724.0,10.0,5924.0,493.0,2,8
4154,ab8b68,1714075921,KGYR,1714080011,KGYR,VAR843  ,163.0,24.0,1623.0,40.0,3,9
4155,ac1529,1714079029,KLAS,1714080258,KU30,N878MH  ,1577.0,66.0,5839.0,625.0,2,1
4156,ac9c12,1714079460,KVDF,1714080346,KCLW,N911TG  ,8721.0,130.0,4752.0,8.0,1,2
4157,ad854a,1714077332,,1714079465,K0R0,SKW5044 ,,,9649.0,1260.0,0,4
4158,ad92b3,1714075984,,1714077712,4LA9,N974C   ,,,8395.0,545.0,0,6
4159,acd296,1714079314,,1714082206,KLAX,AAL1541 ,,,2623.0,30.0,0,7
4160,adb392,1714080608,KBOS,1714081934,KORH,N982LF  ,5059.0,51.0,9981.0,20.0,0,12
4161,adb392,1714076407,KORH,1714077449,KBOS,N982LF  ,8896.0,248.0,5056.0,67.0,2,3
4162,add0ec,1714077025,,1714080259,KMTO,N99GM   ,,,6434.0,229.0,0,4
4163,adeb7d,1714078957,KSUS,1714080741,K1H0,N9961W  ,666.0,18.0,1131.0,11.0,1,6
4164,adeb7d,1714076525,K1H0,1714078109,KSUS,N9961W  ,1475.0,41.0,2547.0,41.0,3,9
4165,c043ab,1714079209,CYXU,1714082033,,THU840  ,6427.0,552.0,,,2,0
4166,c06732,1714077093,CYHM,1714080681,CYHU,CGNCB   ,1207.0,47.0,658.0,111.0,0,8
4167,c08833,1714076073,,1714077242,CYWG,PAG6401 ,,,3020.0,119.0,0,4
4168,e495df,1714078964,,1714080073,SBMT,AZU2724 ,,,9095.0,421.0,0,2
4169,0b4230,1714078690,MGGT,1714079617,MGGT,TGHSD   ,11867.0,365.0,10789.0,288.0,0,0
4170,400a99,1714075540,EGLF,1714076745,EGKK,BRO936P ,1200.0,232.0,5510.0,327.0,2,3
4171,4400f3,1714075815,EKCH,1714078414,EDDB,EJU73UA ,3567.0,291.0,2256.0,104.0,0,3
4172,4d2494,1714077931,EKCH,1714080087,EDDB,EWG42XB ,3294.0,307.0,2280.0,89.0,0,3
4173,71c226,1714076825,EGLL,1714079670,LFPG,KAL504  ,786.0,104.0,5768.0,154.0,2,8
4174,75876f,1714076896,,1714078961,RPLL,CEB556  ,,,2102.0,30.0,0,1
4175,8015e6,1714076300,VOBL,1714077989,,IGO6563 ,2094.0,137.0,,,1,0
4176,a19e61,1714076216,,1714078997,KDFW,ENY3390 ,,,4582.0,165.0,0,21
4177,a0a9b2,1714079762,KCRP,1714081450,6XA4,UCA4254 ,996.0,268.0,6125.0,2125.0,3,26
4178,a0ad16,1714075311,K47N,1714077345,K47N,N1424V  ,3168.0,248.0,3971.0,187.0,4,14
4179,a0be05,1714077590,KPIT,1714081931,KJFK,EDV5286 ,1939.0,52.0,3727.0,18.0,5,2
4180,a2928e,1714079096,KTOA,1714081212,KCPM,N265LD  ,105.0,6.0,527.0,21.0,3,9
4181,a3b4a4,1714078860,KACQ,1714079507,75MN,MVK33   ,12223.0,1142.0,6031.0,786.0,1,6
4182,a3ef15,1714075511,KPCM,1714076901,79FD,N35230  ,2191.0,227.0,5947.0,449.0,5,9
4183,a4bd24,1714076296,KSNA,1714080759,KSTS,SKW3395 ,1828.0,264.0,13736.0,608.0,0,3
4184,a69418,1714075716,KCLT,1714079409,KCAK,JIA5601 ,2955.0,213.0,3849.0,21.0,0,17
4185,a71ac4,1714079747,KGIF,1714081958,KGIF,SFY550  ,2538.0,199.0,2754.0,237.0,3,10
4186,a6a1b4,1714077158,KAFW,1714082287,KABQ,SCX3014 ,1250.0,130.0,4010.0,97.0,8,1
4187,a7c3d5,1714076153,KBJC,1714079731,KSLC,N6PC    ,336.0,38.0,1778.0,45.0,4,3
4188,a7c4f6,1714080716,PAEN,1714081856,PANC,N60AR   ,434.0,0.0,1067.0,15.0,6,14
4189,a7bc44,1714081084,8TN6,1714081919,TN83,MTU98   ,3163.0,362.0,8030.0,641.0,5,13
4190,a7bc44,1714076378,KSYI,1714077959,KMBT,MTU98   ,2006.0,1386.0,8653.0,506.0,1,17
4191,a91693,1714076690,KTZR,1714077811,OH35,N685JA  ,3955.0,493.0,9655.0,1303.0,3,5
4192,a930ce,1714077731,KBED,1714081407,KBED,N6910J  ,380.0,71.0,3682.0,81.0,0,8
4193,a98447,1714075681,,1714081559,KCRG,N712JD  ,,,6475.0,475.0,0,7
4194,a8aa77,1714077060,KALB,1714079470,KPHL,PDT5879 ,1699.0,50.0,7443.0,225.0,2,10
4195,ad001e,1714078650,KDAB,1714081107,FL36,ERU937  ,248.0,10.0,3751.0,271.0,2,9
4196,ad3cbf,1714078476,62TX,1714080651,TE84,N952GV  ,5068.0,734.0,19768.0,2008.0,1,13
4197,acb348,1714075621,1OA8,1714078639,K38D,N91718  ,942.0,714.0,2421.0,598.0,7,24
4198,acc954,1714080338,KCLT,1714081737,KFAY,PDT5910 ,3191.0,297.0,4873.0,178.0,0,11
4199,adaa0d,1714075656,,1714077292,KL38,N98NX   ,,,3225.0,308.0,0,6
4200,add327,1714077303,KHNZ,1714078859,KRDU,N990FG  ,2529.0,251.0,2273.0,25.0,0,8
4201,c050a0,1714076345,,1714077488,CYEG,WEN3200 ,,,13696.0,625.0,0,4
4202,c060b2,1714077163,CYOW,1714079751,CYTZ,PTR2258 ,813.0,68.0,397.0,130.0,1,3
4203,c0635b,1714078112,CYTZ,1714082111,CYUL,PTR2483 ,395.0,114.0,3906.0,32.0,1,2
4204,e4827e,1714079094,SBSP,1714081340,SBRJ,TAM3924 ,1684.0,120.0,6029.0,301.0,1,4
4205,e48f71,1714079858,,1714080837,KMIA,PRNOC   ,,,6805.0,256.0,0,6
4206,394c13,1714076035,LFPG,1714080066,LIMC,AFR35WT ,1921.0,208.0,942.0,9.0,2,4
4207,4010ea,1714076063,LFMN,1714082056,EGKK,EZY78MK ,3679.0,750.0,4719.0,296.0,0,3
4208,407dc1,1714079528,,1714080228,EGCN,HM98    ,,,13818.0,150.0,0,4
4209,4ca9d4,1714075221,LEVX,1714082067,EGSS,RYR2384 ,739.0,66.0,2013.0,137.0,0,6
4210,a031bd,1714075980,KORD,1714081452,6NJ9,AAL2840 ,1083.0,98.0,5651.0,345.0,0,12
4211,a05786,1714075727,KPMP,1714079303,KPIE,N121BD  ,3846.0,1106.0,1597.0,10.0,2,5
4212,a19cd9,1714081394,K4B8,1714082004,K4B8,N20272  ,3264.0,182.0,1781.0,182.0,1,7
4213,a26114,1714077214,KF70,1714079135,KHMT,N252YB  ,71.0,15.0,291.0,41.0,2,8
4214,a1c2c3,1714077578,PANC,1714079152,PAEN,N212US  ,842.0,15.0,1428.0,15.0,7,19
4215,a1be51,1714079840,KMQJ,1714080700,II35,N211ME  ,809.0,163.0,1944.0,175.0,4,23
4216,a1be51,1714077847,KBAK,1714079093,4II2,N211ME  ,266.0,78.0,375.0,103.0,2,25
4217,a1e78e,1714077707,KUNU,1714080439,KUNU,N2213W  ,1539.0,134.0,2535.0,73.0,0,5
4218,a306b9,1714079550,80OH,1714080478,KPOV,N2940L  ,4269.0,697.0,2740.0,138.0,5,16
4219,a306b9,1714077220,61OH,1714078315,K62D,N2940L  ,3798.0,356.0,6534.0,653.0,5,21
4220,a33484,1714080397,66CL,1714081240,KO15,N3052A  ,6944.0,989.0,5539.0,332.0,2,8
4221,a35df4,1714079592,KN14,1714080356,KVAY,N316JS  ,2300.0,190.0,2828.0,90.0,5,9
